type,route_id,route_name,record_index,time,x,y,z,pitch,yaw,roll
record,1784681913914,Route 2,26,2026-07-22T20:47:56.239743+00:00,219678.031,-74892.5,29826.109,345.256226,338.860046,0
record,1784681913914,Route 2,27,2026-07-22T20:48:06.783309600+00:00,215887.203,-74586.172,29941.367,353.766113,156.968918,0
record,1784681913914,Route 2,28,2026-07-22T20:48:17.327073900+00:00,199292.062,-61141.641,29737.307,355.00705,184.801788,0
record,1784681913914,Route 2,29,2026-07-22T20:48:27.861990700+00:00,179024.078,-69380.93,30540.215,342.243134,263.160431,0
record,1784681913914,Route 2,30,2026-07-22T20:48:38.302853400+00:00,172590.922,-77531.078,31629.666,347.207153,210.861816,0
record,1784681913914,Route 2,31,2026-07-22T20:48:48.741557600+00:00,172590.922,-77531.078,31629.666,347.207153,210.861816,0
record,1784681913914,Route 2,32,2026-07-22T20:48:59.180391600+00:00,172590.922,-77531.078,31629.666,347.207153,210.861816,0
record,1784681913914,Route 2,33,2026-07-22T20:49:09.723079200+00:00,154137.234,-75539.008,33759.883,330.55954,347.368622,0
record,1784681913914,Route 2,34,2026-07-22T20:49:20.275609+00:00,171352.953,-75999.688,31817.75,342.437256,343.291412,0
record,1784681913914,Route 2,35,2026-07-22T20:49:30.822441900+00:00,190773.859,-68114.18,30125.684,344.919189,320.776489,0
record,1784681913914,Route 2,36,2026-07-22T20:49:41.367024+00:00,195845.031,-72887.227,29712.945,348.4646,57.572697,0
record,1784681913914,Route 2,37,2026-07-22T20:49:51.809449800+00:00,195152.203,-76834.453,29673.586,348.287994,244.959488,0
record,1784681913914,Route 2,38,2026-07-22T20:50:02.360579200+00:00,187490.281,-76714.211,30117.57,346.161255,81.151009,0
record,1784681913914,Route 2,39,2026-07-22T20:50:12.897308100+00:00,194615.109,-87864.562,28246.871,342.261078,280.238892,0
record,1784681913914,Route 2,40,2026-07-22T20:50:23.433016+00:00,199613.969,-108530.32,25734.416,339.070038,287.507477,0
record,1784681913914,Route 2,41,2026-07-22T20:50:33.982585200+00:00,199886.906,-109247.266,25656,349.123077,318.952606,0
record,1784681913914,Route 2,42,2026-07-22T20:50:44.530819400+00:00,199910.016,-109467.547,25646.746,339.467438,319.743683,0
record,1784681913914,Route 2,43,2026-07-22T20:50:54.970740300+00:00,201123.844,-109427.586,25812.02,346.589417,133.122299,0
record,1784681913914,Route 2,44,2026-07-22T20:51:05.507769200+00:00,199674.453,-109306.5,25726.574,1.925581,131.09613,0
record,1784681913914,Route 2,45,2026-07-22T20:51:16.053112100+00:00,197525.656,-97689.969,26790.094,356.43045,120.990913,0
record,1784681913914,Route 2,46,2026-07-22T20:51:26.590800200+00:00,190423.938,-80863.328,29510.799,353.948914,118.686096,0
record,1784681913914,Route 2,47,2026-07-22T20:54:06.018130800+00:00,150125.141,-48716.934,34203.434,7.063399,175.022598,-0.365621
record,1784681913914,Route 2,48,2026-07-22T20:54:16.457879800+00:00,150125.141,-48716.934,34203.434,7.063399,175.022598,-0.365621
record,1784681913914,Route 2,49,2026-07-22T20:54:26.896703800+00:00,152103.141,-40438.055,33606.227,345.789734,48.265968,359.634369
record,1784681913914,Route 2,50,2026-07-22T20:54:37.433459200+00:00,142912.438,-11420.645,31364.127,343.130554,50.925175,359.634369
record,1784681913914,Route 2,51,2026-07-22T20:54:47.874457100+00:00,142912.438,-11420.645,31364.127,343.130554,50.925175,359.634369
record,1784681913914,Route 2,52,2026-07-22T20:55:19.388901700+00:00,142761.391,-747.812,30470.469,352.755798,48.356209,359.477997
record,1784681913914,Route 2,53,2026-07-22T20:56:47.311898500+00:00,142761.391,-747.812,30470.469,352.755798,48.356209,359.477997
record,1784681913914,Route 2,54,2026-07-22T20:56:57.757104800+00:00,142761.391,-747.812,30470.469,352.755798,48.356209,359.477997
record,1784681913914,Route 2,55,2026-07-22T20:57:08.296981100+00:00,155231.094,48315.578,30187.555,344.656036,260.214966,4.363781
record,1784681913914,Route 2,56,2026-07-22T20:57:18.841905800+00:00,154656.281,41009.453,29971.834,343.769714,252.237259,4.363781
record,1784681913914,Route 2,57,2026-07-22T20:57:29.385988900+00:00,142625.562,17737.934,29808.559,346.7836,244.081848,4.363781
record,1784681913914,Route 2,58,2026-07-22T20:57:39.928093700+00:00,143298.5,-13188.855,31440.289,348.733643,301.166382,4.363781
record,1784681913914,Route 2,59,2026-07-22T20:57:50.476482600+00:00,152909.75,-29632.338,32668.449,352.811218,271.206055,4.363781
record,1784681913914,Route 2,60,2026-07-22T20:58:00.930248300+00:00,152909.75,-29632.338,32668.449,352.811218,271.206055,4.363781
record,1784681913914,Route 2,61,2026-07-22T20:59:14.490876200+00:00,152559.297,-42277.965,33725.211,46.350307,260.2146,4.363781
record,1784681913914,Route 2,62,2026-07-22T21:00:27.965532+00:00,150004.375,-47608.004,34123.434,55.366577,306.66864,2.800223
record,1784681913914,Route 2,63,2026-07-22T21:00:38.408891100+00:00,150004.375,-47608.004,34123.434,55.366577,306.66864,2.800223
record,1784681913914,Route 2,64,2026-07-22T21:00:48.849226500+00:00,150004.375,-47608.004,34123.434,55.366577,306.66864,2.800223
record,1784681913914,Route 2,65,2026-07-22T21:00:59.289499300+00:00,150004.375,-47608.004,34123.434,55.366577,306.66864,2.800223
record,1784681913914,Route 2,66,2026-07-22T21:01:09.729190500+00:00,150004.375,-47608.004,34123.434,55.366577,306.66864,2.800223
record,1784681913914,Route 2,67,2026-07-22T21:01:20.169824400+00:00,150004.375,-47608.004,34123.434,55.366577,306.66864,2.800223
record,1784681913914,Route 2,68,2026-07-22T21:06:09.604696700+00:00,145407.203,-15019.275,31606.992,1.314979,89.953094,4.747046
record,1784681913914,Route 2,69,2026-07-22T21:06:20.151166700+00:00,141279.484,11108.535,29985.311,2.378671,329.046753,4.747046
record,1784681913914,Route 2,70,2026-07-22T21:06:30.695185+00:00,143222.938,18424.469,29795.551,11.597336,128.009277,4.747046
record,1784681913914,Route 2,71,2026-07-22T21:06:41.236882200+00:00,158034.438,5380.641,29907.492,348.813934,353.949005,2.175195
record,1784681913914,Route 2,72,2026-07-22T21:06:51.687747100+00:00,158034.438,5380.641,29907.492,348.813934,353.949005,2.175195
record,1784681913914,Route 2,73,2026-07-22T21:07:02.137227500+00:00,158034.438,5380.641,29907.492,348.813934,353.949005,2.175195
record,1784681913914,Route 2,74,2026-07-22T21:07:54.742134400+00:00,177161.203,6607.121,29123.182,343.831055,29.576342,4.071933
record,1784681913914,Route 2,75,2026-07-22T21:08:47.232563700+00:00,176512.031,8004.051,29084.031,329.300201,226.006226,355.940735
record,1784681913914,Route 2,76,2026-07-22T21:08:57.674212200+00:00,176512.031,8004.051,29084.031,329.300201,226.006226,355.940735
record,1784681913914,Route 2,77,2026-07-22T21:09:29.303202200+00:00,171643.891,2550.496,29720.559,353.936066,241.248276,355.939362
record,1784681913914,Route 2,78,2026-07-22T21:09:39.854472300+00:00,166125.891,-26806.645,31731.477,350.922272,256.84906,355.939362
record,1784681913914,Route 2,79,2026-07-22T21:09:50.402895800+00:00,152298.312,-47017.898,33932.781,345.78125,191.077698,355.939362
record,1784681913914,Route 2,80,2026-07-22T21:10:00.843015200+00:00,152298.312,-47017.898,33932.781,345.78125,191.077698,355.939362
record,1784681913914,Route 2,81,2026-07-22T21:10:11.291982900+00:00,152298.312,-47017.898,33932.781,345.78125,191.077698,355.939362
record,1784681913914,Route 2,82,2026-07-22T21:10:21.732815300+00:00,152298.312,-47017.898,33932.781,345.78125,191.077698,355.939362
record,1784681913914,Route 2,83,2026-07-22T21:10:32.173067400+00:00,152298.312,-47017.898,33932.781,345.78125,191.077698,355.939362
record,1784681913914,Route 2,84,2026-07-22T21:10:42.612328+00:00,152298.312,-47017.898,33932.781,345.78125,191.077698,355.939362
record,1784681913914,Route 2,85,2026-07-22T21:10:53.056186700+00:00,152298.312,-47017.898,33932.781,345.78125,191.077698,355.939362
record,1784681913914,Route 2,86,2026-07-22T21:22:39.183364200+00:00,142031.891,-4326.824,30852.988,341.717041,18.266535,3.312406
record,1784681913914,Route 2,87,2026-07-22T21:22:49.624444600+00:00,143617.844,18996.672,29818.598,341.007843,315.508789,3.312406
record,1784681913914,Route 2,88,2026-07-22T21:23:00.066649500+00:00,148317.859,24940.078,29905.305,338.703247,311.78598,3.312406
record,1784681913914,Route 2,89,2026-07-22T21:23:10.507208600+00:00,151928.797,31654.219,29970.705,351.395813,70.266296,359.927856
record,1784681913914,Route 2,90,2026-07-22T21:23:21.056046+00:00,156185.609,45298.82,30053.369,347.495605,70.08902,359.927856
record,1784681913914,Route 2,91,2026-07-22T21:23:31.496153400+00:00,162547.969,46490.633,30091.064,347.318359,313.437469,359.927856
record,1784681913914,Route 2,92,2026-07-22T21:23:42.045525400+00:00,166241.219,37283.625,29934.391,342.531708,312.728546,359.927856
record,1784681913914,Route 2,93,2026-07-22T21:23:52.590972800+00:00,179303.609,36933.969,29894.402,342.354431,0.417644,359.927856
record,1784681913914,Route 2,94,2026-07-22T21:24:03.139726200+00:00,179350.656,17497.953,28142.496,347.673065,246.070847,359.927856
record,1784681913914,Route 2,95,2026-07-22T21:24:13.693685200+00:00,164182.844,-10192.629,30980.754,350.155151,242.702744,359.927856
record,1784681913914,Route 2,96,2026-07-22T21:24:24.232876500+00:00,152270.547,-40230.5,33573.973,346.609619,244.653046,359.927856
record,1784681913914,Route 2,97,2026-07-22T21:24:34.671932500+00:00,152270.547,-40230.5,33573.973,346.609619,244.653046,359.927856
record,1784681913914,Route 2,98,2026-07-22T21:25:16.740271+00:00,149674.672,-47025.938,34165.863,355.951538,82.407959,0
record,1784681913914,Route 2,99,2026-07-22T21:25:27.210939900+00:00,149674.672,-47025.938,34165.863,355.951538,82.407959,0
record,1784681913914,Route 2,100,2026-07-22T21:25:37.650867800+00:00,149674.672,-47025.938,34165.863,355.951538,82.407959,0
record,1784681913914,Route 2,101,2026-07-22T21:25:58.533207600+00:00,149674.672,-47025.938,34165.863,355.951538,82.407959,0
record,1784681913914,Route 2,102,2026-07-22T21:26:08.974073200+00:00,149674.672,-47025.938,34165.863,355.951538,82.407959,0
record,1784681913914,Route 2,103,2026-07-22T21:26:19.416474700+00:00,149701.328,-47333.332,34170.508,352.469238,269.083038,0
record,1784681913914,Route 2,104,2026-07-23T00:58:55.154955300+00:00,147798.766,-46137.664,34840.484,354.012054,336.171844,0
record,1784681913914,Route 2,105,2026-07-23T00:59:05.591986400+00:00,147798.766,-46137.664,34840.484,354.012054,336.171844,0
record,1784681913914,Route 2,106,2026-07-23T00:59:16.129742800+00:00,147288.234,-47671.297,34467.004,343.406372,197.511887,0
record,1784681913914,Route 2,107,2026-07-23T00:59:26.673773400+00:00,146893.828,-48513.836,34491.238,344.671478,10.678598,0
record,1784681913914,Route 2,108,2026-07-23T01:01:11.468354700+00:00,147793.281,-47366.258,34776.875,346.370453,79.102898,0
record,1784830782255,test,0,2026-07-23T18:20:09.271266600+00:00,161072.891,-53129.289,32800.281,-11.872955,-71.65509,0
record,1784830782255,test,1,2026-07-23T18:21:01.009533600+00:00,144498,-47731.488,34580.609,352.708618,168.215286,0
record,1784830782255,test,2,2026-07-23T18:21:11.360892500+00:00,148852.859,-44751.66,34249.742,347.642975,335.104309,0
record,1784830782255,test,3,2026-07-23T18:21:21.711062900+00:00,148723.531,-45248.082,34268.82,342.89386,256.909607,0
record,1784830782255,test,4,2026-07-23T18:21:32.060806700+00:00,149307.875,-48654.203,34217.883,350.966156,207.207565,0
